lat,lon,id,date,time,timeflt,Vikt,Vims,Vokt,Voms,Vrkt,Vrx2ms,Vrms,Dnm,Dm,Sr,Srx1000,rangenm,site,class,dmg,type,terr,other
34.1,-117.43333,5440573,38415,20:05,0.836805556,-25.3,-13.0154332,15.5,7.973882,20.4,20.9893152,10.4946576,0.32,592.64,0.035416636,35.41663607,17.93,KSOX,F0,20000,Mini-Supercell,Central Valley,Super strong couplet by california standards. NW moving supercell with clear occlusion (shrinking and intensification of meso diameter).
37.81667,-121.3,5478741,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,10000,Mini-Supercell,Central Valley,Clear weak low topped supercell on reflectivity but velocity is cluttered/hard to read and we are missing a few minutes of data right at tornadogenesis.
38.5,-121.3,5478659,38450,23:04,0.961111111,-7.77,-3.99722988,30.1,15.4847644,18.935,19.48199428,9.74099714,0.42,777.84,0.025046275,25.04627466,20.9,KDAX,F0,0,Mini-Supercell,Central Valley,Mini Tornado outbreak in the central valley. Multiple supercells produced weak tornadoes. Some clutter but was able to work around it.
38.66667,-121.46667,5478739,38450,22:22,0.931944444,-9.71,-4.99525124,45.7,23.5100908,27.705,28.50534204,14.25267102,1.13,2092.76,0.013620932,13.62093219,13.04,KDAX,F0,25000,Mini-Supercell,Central Valley,Mini Tornado outbreak in the central valley. Multiple supercells produced weak tornadoes. Some clutter but was able to work around it.
36.63333,-119.68333,5449085,38481,18:29,0.770138889,-15.5,-7.973882,7.77,3.99722988,11.635,11.97111188,5.98555594,0.25,463,0.025855533,25.85553322,13.55,KHNX,F0,0,Mini-Supercell,Central Valley,"Honestly probably a landspout supercell hybrid. There is a boundary in the area which a thunderstorm forms on top of, but eventually the thunderstorm does gain a meso."
37.75,-121.43333,5488497,38712,11:02,0.459722222,-15.5,-7.973882,10.7,5.5045508,13.1,13.4784328,6.7392164,0.89,1648.28,0.008177271,8.177271337,49.72,KDAX,F0,20000,QLCS,Central Valley,"QLCS spinnup in what seems to be a NCFR. Long lived but weak meso tracking from tracy to manteca, seems to peak at manteca but took reading in south tracy since that's where the tornado was."
37.53333,-120.28333,5492041,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,F0,0,Mini-Supercell,Sierra Foothills,Seems supercellular but radar is generally too range folded at this distance to make anything out.
38.3911,-121.37,9808,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,2000,Mini-Supercell,Central Valley,Mini-supercells in the area but no signature for any storm in Elk Grove weirdly.
34.8393,-118.2074,61502,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,175000,Landspout,Mojave Desert,"Most likely a landspout, but no good radar data anyways. KEYX wasn’t up. This is a super common landspout area as well, and there doesn't seem to be much flow to support supercells."
36.3301,-119.3617,79780,39474,19:53,0.828472222,-8.74,-4.49624056,20.4,10.4946576,14.57,14.99089816,7.49544908,0.22,407.44,0.036792898,36.79289751,11.44,KHNX,EF0,750000,Mini-Supercell,Central Valley,Isolated mini supercell along a surface low? Honestly this one is really interesting due to its proximity to stratiform rain. Should dig more into the synoptics of it.S
34.3505,-116.5859,130000,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF1,10000,Landspout,Mojave Desert,Seem to be missing an hour of data during a critical period from KSOX. Still no KEYX. It seems to be very strong moonsoonal question. NWS states apparent landspout.
36.73,-119.86,270002,40196,23:18,0.970833333,-11.7,-6.0189948,28.2,14.5073208,19.95,20.5263156,10.2631578,0.24,444.48,0.046180516,46.18051566,26.65,KHNX,EF0,0,QLCS,Central Valley,"FLAGGED: The event writup states that this was supercellular, but based on radar I'd say this is a QLCS. The couplet is displaced from any reflectivity and not consistent with different tilts so it could be sidelobe contamination. I have a measurement of it by may need to discard it."
35.3,-119.27,218436,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,?,Central Valley,Some convection in the area but not really seeing much of a signature for tornadic activity.
38.582,-120.979,299698,40505,21:25,0.892361111,-0.97,-0.49901068,30.1,15.4847644,15.535,15.98377508,7.99188754,0.27,500.04,0.031964993,31.96499296,30.98,KDAX,EF1,2000,Mini-Supercell,Sierra Foothills,"Pretty strong couplet! Well formed funnel too. https://www.villagelife.com/news/tordado-rocks-el-dorado-hills/, https://www.mtdemocrat.com/uncategorized/tornado-hits-el-dorado-hills/"
38.5647,-121.2961,299798,40599,22:51,0.952083333,8.74,4.49624056,24.3,12.5009892,7.78,8.00474864,4.00237432,0.2,370.4,0.021611092,21.61109244,17.88,KDAX,EF0,18000,Mini-Supercell,Central Valley,Well formed supercell in the sac metro area. Seemingly weaker velocity couplet but still present.
36.63,-120.32,430360,40985,22:24,0.933333333,-22.3,-11.4721012,8.74,4.49624056,15.52,15.96834176,7.98417088,0.91,1685.32,0.009474961,9.474961289,35.44,KHNX,EF0,0,Mini-Supercell,Central Valley,Weirdly oriented supercell with flying eagle shape. Meso on the weaker side.
37.8778,-121.3328,374196,41010,20:10,0.840277778,-8.74,-4.49624056,4.86,2.50019784,6.8,6.9964384,3.4982192,0.74,1370.48,0.005105101,5.105100695,42.36,KDAX,EF0,10000,Mini-Supercell,Central Valley,"FLAGGED: Not too confident about this one, but it seems to have the shape, velocities are just super weak and the rotation is not where the tornado is recorded by a substantial amount."
38.387,-121.35,411522,41204,23:56,0.997222222,-24.3,-12.5009892,10.7,5.5045508,17.5,18.00554,9.00277,0.2,370.4,0.048611069,48.61106911,17.25,KDAX,EF1,0,Mini-Supercell,Central Valley,It was a really strong tornado for how weak the reflectivity signature was. Essentially no precip with this thing at all. Definitely a supercell though.
36.1104,-119.2886,420139,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Mini-Supercell,Central Valley,Supercellular convection but it is so extremely low topped that the beam is definitely overshooting any rotation. I could not see any or distinguish it from clutter at the location of the tornado.
36.9478,-118.2294,418500,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Sierra,No convection visible from KHNX or KESX. 
35.3773,-119.0456,510101,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Central Valley,Bubbling convection along an apparent boundary. Seems likely to be a landspout.
34.7524,-117.323,473542,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Mojave Desert,"Reported as a landspout. Radar sees the storms and while they look a little supercellular, they don't have roatation near where the tornado was reported. Still likely to be a landspout."
38.7624,-121.4164,508191,41725,0:30,0.020833333,-15.5,-7.973882,24.3,12.5009892,19.9,20.4748712,10.2374356,0.34,629.68,0.032516312,32.51631178,20.07,KDAX,EF0,0,Mini-Supercell,Central Valley,Compact mini supercell with well defined couplet.
35.48,-119.79,560640,42058,19:52,0.827777778,-2.91,-1.49703204,2.91,1.49703204,2.91,2.99406408,1.49703204,0.45,833.4,0.003592589,3.592589489,51.06,KHNX,EF0,0,Landspout,Central Valley,"FLAGGED: Could have reasonably been a supercell or landspout. Nonetheless, there is gate to gate shear which may imply a mesocyclone at this distance from the radar, but nothing conclusive."
38.9728,-120.071,593507,42194,4:40,0.194444444,-7.77,-3.99722988,7.77,3.99722988,7.77,7.99445976,3.99722988,0.44,814.88,0.009810598,9.810597585,51.35,KRGX,EF0,0,Waterspout,Sierra,"FLAGGED: Waterspout. Not sure why it's listed as tornado in this database, but at least we have a track of it. Might have been anticyclonic based on radar, forming on the collision of two OFB's. See screenshots."
34.2997,-116.4015,582518,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Mojave Desert,Lots of boundary action with no clear mesocyclones. I concur it was probably a landspout.
38.705,-121.1157,605920,42362,23:22,0.973611111,-9.71,-4.99525124,32.1,16.5136524,20.905,21.50890364,10.75445182,0.33,611.16,0.035193572,35.19357229,34.81,KDAX,EF1,1000000,Mini-Supercell,Sierra Foothills,Mini-supercell that formed over Folsom and tracked into the foothills.
38.8491,-121.3272,674297,42744,21:58,0.915277778,-27.2,-13.9928768,32.1,16.5136524,29.65,30.5065292,15.2532646,0.3,555.6,0.05490736,54.90735997,37.29,KBBX,EF0,0,Mini-Supercell,Central Valley,"FLAGGED: Clearly a supercell here on KDAX, there's just too much clutter. Used KBBX to compensate, but still may be too cluttered."
38.6267,-121.4805,676664,42746,7:53,0.328472222,-2.91,-1.49703204,40.8,20.9893152,21.855,22.48634724,11.24317362,0.29,537.08,0.04186778,41.86777992,11.4,KDAX,EF0,25000,Mini-Supercell,Central Valley,Rare nocturnal supercell nestled within a vortmax.
34.6207,-117.3743,700418,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Mojave Desert,Likely landspout again. This area seems to have one every year or so.
36.6685,-119.5134,731511,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,?,Central Valley,No radar echos to be seen anywhere near the tornado report.
36.6685,-119.5134,739885,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Sierra,Reported landspout. Some showers but no precipitating convection near the report.
36.4864,-119.2519,738025,43181,22:31,0.938194444,-7.77,-3.99722988,19.4,9.9802136,13.585,13.97744348,6.98872174,0.72,1333.44,0.010482244,10.48224403,15.54,KHNX,EF0,0,QLCS,Central Valley,Some cell mergers happen and the tornado vortex seems to form on the bookend vortex. It's pretty weak though.
36.84,-119.56,793391,43482,23:18,0.970833333,-10.7,-5.5045508,24.3,12.5009892,17.5,18.00554,9.00277,0.75,1389,0.012962952,12.96295176,30.83,KHNX,EF1,500000,Mini-Supercell,Central Valley,From video.
37.37,-119.97,795410,43498,23:30,0.979166667,-5.83,-2.99920852,36.9,18.9829836,21.365,21.98219212,10.99109606,0.97,1796.44,0.01223653,12.23653009,56.7,KHNX,EF0,0,QLCS,Sierra Foothills,Bookend vortex evolution produced a touchdown. Note that this storm is in a radar hole.
37.16,-119.81,798027,43511,18:01,0.750694444,1.94,0.99802136,28.2,14.5073208,13.13,13.50929944,6.75464972,1.37,2537.24,0.005324407,5.324407403,51.91,KHNX,EF0,0,QLCS,Sierra Foothills,QLCS vortex evolution produced a touchdown. Note that this storm is in a radar hole.
36.7574,-120.3926,801141,43526,19:49,0.825694444,-14.6,-7.5108824,12.6,6.4819944,13.6,13.9928768,6.9964384,0.43,796.36,0.017571044,17.57104425,48.04,KHNX,EF0,20000,Mini-Supercell,Central Valley,Classic mini-supercell west of mendota producing a tornado.
35.6129,-117.6405,807845,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Mojave Desert,"Landspout moved from one NWS jurisdiction to another, resulting in two incidents. Convection bubbling along a boundary in ridgecrest."
35.6216,-117.6344,814686,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Mojave Desert,OMIT: Same tornado as above
36.2,-119.99,814192,43604,22:35,0.940972222,-16.5,-8.488326,19.4,9.9802136,17.95,18.4685396,9.2342698,0.88,1629.76,0.011332061,11.33206092,19.75,KHNX,EF0,0,Mini-Supercell,Central Valley,Really strong mini supercell forming along a constructive merger between a line segment and a discrete cell.
35.32,-118.76,816579,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Landspout,Sierra Foothills,Movement to the southwest and pulsy nature of convection points towards landspout. There is velocity aliasing anyways with no data from KEYX so this event is inconclusive anyways.
38.4,-121.04,898112,43969,19:22,0.806944444,-5.83,-2.99920852,15.5,7.973882,10.665,10.97309052,5.48654526,0.31,574.12,0.019112887,19.11288671,30.06,KDAX,EF0,0,Mini-Supercell,Central Valley,Brief tornado in eastern Sacramento county.
37.35,-119.34,921844,44079,22:08,0.922222222,-44.7,-22.9956468,45.7,23.5100908,45.2,46.5057376,23.2528688,0.55,1018.6,0.045656526,45.65652621,63.27,KHNX,EF2,0,Fire-generated Tornado Vortex,Sierra,FGTV from the Creek fire. 
37.25,-119.2,921845,44080,0:29,0.020138889,-12.6,-6.4819944,47,24.178868,29.8,30.6608624,15.3304312,0.96,1777.92,0.017245355,17.24535547,59.01,KHNX,EF1,0,Fire-generated Tornado Vortex,Sierra,Second FGTV from the Creek fire.
38.63,-121,930948,44153,23:50,0.993055556,-19.4,-9.9802136,2.91,1.49703204,11.155,11.47724564,5.73862282,0.56,1037.12,0.011066459,11.06645869,59.22,KBBX,EF0,0,Mini-Supercell,Sierra Foothills,Unfortunately KDAX was down for this one. Small outbreak of mini supercells producing tornadoes in the foothills.
38.11,-121.48,1024940,?,?,?,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,EF0,0,Mini-Supercell,Central Valley,There are supercell shaped thunderstorms but velocity data leaves much to be desired. A lot of aliasing errors going on.
38.33,-121.32,1062971,44873,21:40,0.902777778,-13.6,-6.9964384,22.3,11.4721012,17.95,18.4685396,9.2342698,0.9,1666.8,0.011080237,11.08023734,20.72,KDAX,EF0,0,Mini-Supercell,Central Valley,Small supercell put down a quick tornado.
38.32,-121.14,1078470,44940,22:09,0.922916667,-7.77,-3.99722988,14.6,7.5108824,11.185,11.50811228,5.75405614,0.53,981.56,0.011724309,11.72430853,28.12,KDAX,EF0,25000,Mini-Supercell,Central Valley,Another mini supercell in sac county
